,date,code,qty,price,amount,profit,cash
0,2018-09-14,123008,70,136.1,9527.0,0,90473.0
1,2018-09-14,128034,100,99.118,9911.8,0,80561.2
2,2018-09-14,128025,100,97.47200000000001,9747.2,0,70814.0
3,2018-09-14,128027,80,122.15,9772.0,0,61042.0
4,2018-09-14,123001,100,93.961,9396.1,0,51645.9
5,2018-09-14,110042,90,109.64,9867.6,0,41778.3
6,2018-09-14,123009,90,110.32,9928.8,0,31849.500000000004
7,2018-09-14,128014,100,97.551,9755.1,0,22094.4
8,2018-09-14,128033,100,94.9,9490.0,0,12604.400000000001
9,2018-09-14,127003,110,88.9,9779.0,0,2825.4000000000015
10,2018-09-15,110042,-90,109.64,-9867.6,0.0,12693.000000000002
11,2018-09-15,128014,-100,97.551,-9755.1,0.0,22448.100000000002
12,2018-09-15,127003,-110,88.9,-9779.0,0.0,32227.100000000002
13,2018-09-15,113016,100,100.11,10011.0,0,22216.100000000002
14,2018-09-15,113504,90,112.61,10134.9,0,12081.200000000003
15,2018-09-15,128036,120,88.23200000000001,10587.84,0,1493.3600000000024
16,2018-09-19,113016,-100,99.0,-9900.0,-111.0,11393.360000000002
17,2018-09-19,113504,-90,112.6,-10134.0,-0.9,21527.36
18,2018-09-19,113018,90,109.21,9828.9,0,11698.460000000001
19,2018-09-19,110042,90,108.49,9764.1,0,1934.3600000000006
20,2018-09-20,128036,-120,88.397,-10607.64,19.8,12542.0
21,2018-09-20,110042,-90,108.96,-9806.4,42.3,22348.4
22,2018-09-20,113016,110,99.11,10902.1,0,11446.300000000001
23,2018-09-20,113504,90,112.61,10134.9,0,1311.4000000000015
24,2018-09-21,128033,-100,96.12,-9612.0,122.0,10923.400000000001
25,2018-09-21,113504,-90,113.4,-10206.0,71.1,21129.4
26,2018-09-21,110032,80,125.79,10063.2,0,11066.2
27,2018-09-21,110042,90,109.87,9888.3,0,1177.9000000000015
28,2018-09-22,113018,-90,109.21,-9828.9,0.0,11006.800000000001
29,2018-09-22,113016,-110,99.11,-10902.1,0.0,21908.9
30,2018-09-22,110042,-90,109.87,-9888.3,0.0,31797.2
31,2018-09-22,128021,100,100.3,10030.0,0,21767.2
32,2018-09-22,113504,90,113.97,10257.3,0,11509.900000000001
33,2018-09-22,128033,110,95.553,10510.83,0,999.0700000000015
34,2018-09-26,110032,-80,126.1,-10088.0,24.8,11087.070000000002
35,2018-09-26,128033,-110,95.432,-10497.52,-13.31,21584.590000000004
36,2018-09-26,113018,90,112.31,10107.9,0,11476.690000000004
37,2018-09-26,110042,90,110.37,9933.3,0,1543.3900000000049
38,2018-09-27,113504,-90,113.91,-10251.9,-5.4,11795.290000000005
39,2018-09-27,110042,-90,111.2,-10008.0,74.7,21803.290000000005
40,2018-09-27,110032,80,128.49,10279.2,0,11524.090000000004
41,2018-09-27,110043,110,97.73,10750.3,0,773.7900000000045
42,2018-09-28,110032,-80,127.01,-10160.8,-118.4,10934.590000000004
43,2018-09-28,128024,90,112.321,10108.89,0,825.7000000000044
44,2018-09-29,110043,-110,97.73,-10750.3,0.0,11576.000000000004
45,2018-09-29,128024,-90,112.321,-10108.89,0.0,21684.890000000003
46,2018-09-29,113016,110,97.04,10674.4,0,11010.490000000003
47,2018-09-29,110032,80,127.52,10201.6,0,808.890000000003
48,2018-10-09,123009,-90,107.99,-9719.1,-209.7,10527.990000000003
49,2018-10-09,113018,-90,111.29,-10016.1,-91.8,20544.090000000004
50,2018-10-09,113016,-110,95.11,-10462.1,-212.3,31006.190000000002
51,2018-10-09,110032,-80,125.98,-10078.4,-123.2,41084.590000000004
52,2018-10-09,123002,100,101.868,10186.8,0,30897.790000000005
53,2018-10-09,110043,100,97.33,9733.0,0,21164.790000000005
54,2018-10-09,128014,100,96.48700000000001,9648.7,0,11516.090000000004
55,2018-10-09,128024,90,111.863,10067.67,0,1448.4200000000037
56,2018-10-10,110043,-100,97.27,-9727.0,-6.0,11175.420000000004
57,2018-10-10,128014,-100,95.555,-9555.5,-93.2,20730.920000000006
58,2018-10-10,128024,-90,110.693,-9962.37,-105.3,30693.290000000008
59,2018-10-10,113016,100,96.3,9630.0,0,21063.290000000008
60,2018-10-10,113018,90,109.5,9855.0,0,11208.290000000008
61,2018-10-10,123009,90,104.82,9433.8,0,1774.4900000000089
62,2018-10-12,113016,-100,95.27,-9527.0,-103.0,11301.490000000009
63,2018-10-12,113018,-90,107.11,-9639.9,-215.1,20941.390000000007
64,2018-10-12,123009,-90,99.6,-8964.0,-469.8,29905.390000000007
65,2018-10-12,110032,80,123.03,9842.4,0,20062.990000000005
66,2018-10-12,128024,90,109.11,9819.9,0,10243.090000000006
67,2018-10-12,128036,110,85.70299999999999,9427.33,0,815.7600000000057
68,2018-10-13,110032,-80,123.03,-9842.4,0.0,10658.160000000005
69,2018-10-13,128036,-110,85.70299999999999,-9427.33,0.0,20085.490000000005
70,2018-10-13,113016,100,96.27,9627.0,0,10458.490000000005
71,2018-10-13,123006,80,112.6,9008.0,0,1450.4900000000052
72,2018-10-16,123001,-100,90.975,-9097.5,-298.6,10547.990000000005
73,2018-10-16,123006,-80,112.59899999999999,-9007.92,-0.08,19555.910000000003
74,2018-10-16,113018,80,109.72,8777.6,0,10778.310000000003
75,2018-10-16,110042,90,107.36,9662.4,0,1115.9100000000035
