,date,stock_amount,cash,profit
0,2018-09-14,96603.2,2825.4000000000015,99428.6
1,2018-09-15,98052.35,1493.3600000000024,99545.71
2,2018-09-18,97267.93,1493.3600000000024,98761.29
3,2018-09-19,97358.78,1934.3600000000006,99293.14
4,2018-09-20,97987.72,1311.4000000000015,99299.12
5,2018-09-21,99230.33,1177.9000000000015,100408.23000000001
6,2018-09-22,99029.89,999.0700000000015,100028.96
7,2018-09-26,98840.89,1543.3900000000049,100384.28
8,2018-09-27,98981.62,773.7900000000045,99755.41
9,2018-09-28,99344.39,825.7000000000044,100170.09
10,2018-09-29,99190.03,808.890000000003,99998.92
11,2018-10-09,96115.12,1448.4200000000037,97563.54
12,2018-10-10,95542.88,1774.4900000000089,97317.37000000001
13,2018-10-11,92991.3,1774.4900000000089,94765.79000000001
14,2018-10-12,94738.72,815.7600000000057,95554.48000000001
15,2018-10-13,94004.06,1450.4900000000052,95454.55
16,2018-10-16,93876.41,1115.9100000000035,94992.32
17,2018-10-17,94097.3,632.6100000000042,94729.91
18,2018-10-18,93043.47,800.2100000000064,93843.68000000001
19,2018-10-19,94525.04,761.2100000000064,95286.25
20,2018-10-20,94795.04,505.8300000000054,95300.87
21,2018-10-23,95578.43,1026.5300000000043,96604.95999999999
22,2018-10-24,95805.87,1217.430000000004,97023.3
23,2018-10-25,96325.32,884.4300000000039,97209.75000000001
24,2018-10-26,96319.62,826.3600000000042,97145.98
25,2018-10-27,96754.4,470.1600000000035,97224.56
26,2018-10-30,96645.28,452.3600000000042,97097.64
27,2018-10-31,96926.99,622.1600000000035,97549.15000000001
28,2018-11-01,97602.69,489.3600000000042,98092.05
29,2018-11-02,99656.5,38.67000000000371,99695.17
30,2018-11-03,98982.33,684.9600000000028,99667.29000000001
31,2018-11-06,97025.06,1676.760000000002,98701.82
32,2018-11-07,97824.06,803.6600000000035,98627.72
33,2018-11-08,97307.8,1257.5600000000031,98565.36
34,2018-11-09,95932.97,1257.5600000000031,97190.53
35,2018-11-10,95932.97,1257.5600000000031,97190.53
36,2018-11-13,97194.15,1439.560000000005,98633.70999999999
37,2018-11-14,97627.49,1270.2600000000039,98897.75000000001
38,2018-11-15,98705.11,1455.050000000003,100160.16
39,2018-11-16,100814.37,335.470000000003,101149.84
40,2018-11-17,99654.2,1245.8500000000022,100900.05
41,2018-11-20,99238.18,220.85000000000218,99459.03
42,2018-11-21,98628.05,1107.050000000003,99735.1
43,2018-11-22,99482.86,111.85000000000218,99594.71
44,2018-11-23,98170.34,27.950000000002547,98198.29
45,2018-11-24,97175.09,1047.650000000005,98222.74
46,2018-11-27,97392.87,917.8900000000049,98310.76
47,2018-11-28,98697.59,111.89000000000487,98809.48
48,2018-11-29,96787.38,946.690000000006,97734.07
49,2018-11-30,97100.38,918.690000000006,98019.07
50,2018-12-01,97634.64,347.19000000000597,97981.83
51,2018-12-04,99281.29,595.0900000000038,99876.38
52,2018-12-05,99161.59,555.9900000000034,99717.58
53,2018-12-06,98621.0,541.8100000000031,99162.81
54,2018-12-07,97128.17,1600.470000000003,98728.64
55,2018-12-08,97352.48,1412.670000000002,98765.15
56,2018-12-11,97774.77,95.27000000000226,97870.04000000001
57,2018-12-12,96768.92,1154.770000000004,97923.69
58,2018-12-13,97043.0,1510.470000000003,98553.47
59,2018-12-14,96907.01,934.3700000000026,97841.38
60,2018-12-15,97201.18,680.310000000005,97881.48999999999
61,2018-12-18,96725.9,822.310000000005,97548.20999999999
62,2018-12-19,96565.18,780.0100000000057,97345.19
63,2018-12-20,95247.15,2042.700000000008,97289.85
64,2018-12-21,95806.69,1057.4000000000087,96864.09000000001
65,2018-12-22,95968.98,1053.4000000000087,97022.38
66,2018-12-25,96171.78,713.700000000008,96885.48000000001
67,2018-12-26,95427.68,636.9000000000087,96064.58
68,2018-12-27,94742.56,1067.200000000008,95809.76000000001
69,2018-12-28,94645.25,757.5000000000073,95402.75
70,2018-12-29,94893.05,558.5000000000073,95451.55000000002
71,2019-01-03,94169.6,722.1000000000076,94891.70000000001
72,2019-01-04,94887.55,1229.88000000001,96117.43000000001
73,2019-01-05,95043.24,1102.7300000000087,96145.97000000002
74,2019-01-08,97006.08,931.7300000000087,97937.81000000001
75,2019-01-09,99324.88,80.43000000000939,99405.31000000001
76,2019-01-10,98255.24,1188.9300000000076,99444.17000000001
77,2019-01-11,98359.62,1840.1300000000083,100199.75
78,2019-01-12,99015.66,1359.9300000000076,100375.59000000001
79,2019-01-15,99131.1,1607.330000000009,100738.43000000002
80,2019-01-16,99043.25,1464.7100000000082,100507.96
81,2019-01-17,98947.7,1541.4100000000071,100489.11
82,2019-01-18,99229.24,1632.3100000000086,100861.55000000002
83,2019-01-19,99427.64,1402.7100000000082,100830.35
84,2019-01-22,99198.91,547.4100000000071,99746.32
85,2019-01-23,99554.81,187.41000000000713,99742.22
86,2019-01-24,99296.02,947.700000000008,100243.72000000002
87,2019-01-25,98648.25,1168.900000000007,99817.15000000001
88,2019-01-26,98780.96,405.80000000000655,99186.76000000001
89,2019-01-29,95266.79,2060.9700000000103,97327.76000000001
90,2019-01-30,95787.59,1520.1100000000115,97307.70000000001
91,2019-01-31,96927.64,385.1100000000115,97312.75000000001
92,2019-02-01,97475.18,1299.9000000000106,98775.08
93,2019-02-02,97459.3,1141.2000000000062,98600.50000000001
94,2019-02-12,96551.74,3335.9500000000025,99887.69
95,2019-02-13,102030.67,375.95000000000255,102406.62
96,2019-02-14,101459.91,1177.1500000000033,102637.06000000001
97,2019-02-15,101074.18,481.0500000000029,101555.23
98,2019-02-16,99885.42,1556.7900000000045,101442.21
99,2019-02-19,103438.82,239.39000000000487,103678.21
100,2019-02-20,103206.66,2574.090000000011,105780.75000000001
101,2019-02-21,105216.62,988.5100000000093,106205.13
102,2019-02-22,108053.56,911.4000000000087,108964.96
103,2019-02-23,106701.34,938.6800000000112,107640.02
104,2019-02-26,109787.9,1324.1400000000122,111112.04000000001
105,2019-02-27,108286.11,1236.9400000000114,109523.05000000002
106,2019-02-28,108565.52,1329.6400000000122,109895.16000000002
107,2019-03-01,109115.87,1763.840000000011,110879.71
108,2019-03-02,110357.66,586.8400000000111,110944.50000000001
109,2019-03-05,111474.37,3325.7400000000107,114800.11
110,2019-03-06,117517.07,1456.9400000000096,118974.01000000001
111,2019-03-07,116836.14,3555.440000000008,120391.58
112,2019-03-08,112201.79,2568.000000000011,114769.79000000001
113,2019-03-09,112138.83,5585.1500000000015,117723.98000000001
114,2019-03-12,124195.7,3320.1200000000026,127515.82
115,2019-03-13,121421.53,1735.2200000000048,123156.75
116,2019-03-14,116432.35,2438.8299999999945,118871.18
117,2019-03-15,118283.2,4657.62999999999,122940.82999999999
118,2019-03-16,120252.5,803.5299999999897,121056.02999999998
119,2019-03-19,121925.25,3262.12999999999,125187.37999999999
120,2019-03-20,120952.93,2725.439999999988,123678.36999999998
121,2019-03-21,125830.57,385.4399999999878,126216.01
122,2019-03-22,124398.38,981.7199999999884,125380.09999999999
123,2019-03-23,122086.58,4106.429999999991,126193.01
124,2019-03-26,119759.71,1843.1499999999905,121602.86
125,2019-03-27,118848.33,4678.8599999999915,123527.18999999999
126,2019-03-28,120322.96,2958.8799999999937,123281.84
127,2019-03-29,123648.29,2660.289999999988,126308.57999999999
128,2019-03-30,123834.17,1341.2899999999881,125175.45999999999
129,2019-04-02,124953.52,5306.739999999991,130260.26
130,2019-04-03,130254.52,2257.4699999999957,132511.99
131,2019-04-04,132595.57,1419.2699999999968,134014.84
132,2019-04-05,129737.57,2419.9299999999967,132157.5
133,2019-04-09,125585.49,3423.760000000002,129009.25
134,2019-04-10,127144.5,2054.1600000000053,129198.66
135,2019-04-11,125517.83,2585.480000000003,128103.31
136,2019-04-12,124669.93,4547.880000000008,129217.81
137,2019-04-13,126743.47,1696.2300000000087,128439.70000000001
138,2019-04-16,127128.71,3519.1700000000055,130647.88
139,2019-04-17,124937.14,5948.959999999992,130886.09999999999
140,2019-04-18,126225.75,3285.12999999999,129510.87999999999
141,2019-04-19,128499.97,1888.3099999999904,130388.28
142,2019-04-20,127743.02,2122.639999999992,129865.66
143,2019-04-23,128437.2,2826.309999999994,131263.50999999998
144,2019-04-24,131114.39,2000.1699999999946,133114.56
145,2019-04-25,125017.66,3401.8699999999953,128419.53
146,2019-04-26,124035.39,3753.1900000000005,127788.58
147,2019-04-27,126587.74,2279.379999999999,128867.12000000001
148,2019-04-30,121048.47,3358.1599999999944,124406.62999999999
149,2019-05-01,124056.59,1829.1799999999967,125885.76999999999
150,2019-05-07,119060.08,837.2099999999973,119897.29
151,2019-05-08,118103.48,1012.2599999999966,119115.73999999999
152,2019-05-09,117065.65,949.0599999999959,118014.70999999999
153,2019-05-10,120379.88,2152.7099999999955,122532.59
154,2019-05-11,122837.11,96.57999999999447,122933.69
155,2019-05-14,122568.5,547.0799999999945,123115.57999999999
156,2019-05-15,125024.85,805.3299999999945,125830.18
157,2019-05-16,125156.44,830.0299999999952,125986.47
158,2019-05-17,121208.07,1146.0299999999952,122354.1
